(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0DJ2W8W79,B0DJ2W8W79,Michael Kors Sage Silver Watch MK9191,226,10,0.14%,0.35%,286,12,0.13%,0.29%,86.43%,100.00%,1,0,0.44%,0.00%,"₹20,495.00",₹0.00,1,0
B0DJ2XCDJ1,B0DJ2XCDJ1,Emporio Armani Women's Stainless Steel Analog Green Dial Watch-AR11639,245,3,0.15%,0.11%,331,5,0.15%,0.12%,99.66%,100.00%,1,0,0.41%,0.00%,"₹24,495.00",₹0.00,1,0
B0DJ2XWYX7,B0DJ2XWYX7,Michael Kors Sage Gold Watch MK9192,48,0,0.03%,0.00%,55,0,0.03%,0.00%,87.04%,0.00%,1,0,2.08%,0.00%,"₹20,495.00",₹0.00,1,0
B0DM6BB3VT,B0DM6BB3VT,nexlev Calf Massager | Daily Use Leg Massager for Sore Muscle |1 Piece | Hand Like Massage with Air Compression | Improve Blood Circulation & Relieve Pain | 2500 mAh | Large Belt | Type C |CFM-01,6,1,0.00%,0.04%,8,1,0.00%,0.02%,100.00%,0.00%,1,0,16.67%,0.00%,"₹2,999.00",₹0.00,1,0
B0DP5JYG31,B0DP5JYG31,Michael Kors Panorama Black Quartz Stainless Steel Watch MK9198,87,3,0.05%,0.11%,106,4,0.05%,0.10%,98.97%,100.00%,1,0,1.15%,0.00%,"₹11,498.00",₹0.00,1,0
B0DSBN62LR,B0DSBN62LR,Armani Exchange Black Quartz Silicone Watch AX7165SET,261,11,0.16%,0.39%,400,36,0.18%,0.87%,95.87%,100.00%,1,1,0.38%,9.09%,"₹15,995.00","₹15,995.00",1,1
B0DSBQYVSM,B0DSBQYVSM,Fossil Men Neutra Multicolor Quartz Stainless Steel White Dial Analog Watch FS6112,704,10,0.43%,0.35%,950,11,0.44%,0.27%,95.93%,100.00%,1,0,0.14%,0.00%,"₹14,495.00",₹0.00,1,0
B0DSBRPS7R,B0DSBRPS7R,Armani Exchange Pink Quartz Stainless Steel Watch AX7167SET,55,0,0.03%,0.00%,69,0,0.03%,0.00%,81.67%,0.00%,1,0,1.82%,0.00%,"₹14,995.00",₹0.00,1,0
B0DSBRWZ8N,B0DSBRWZ8N,Fossil Chronograph Men Neutra Brown Quartz Leather Gold Dial Watch FS6113,557,11,0.34%,0.39%,690,18,0.32%,0.44%,95.13%,100.00%,1,0,0.18%,0.00%,"₹12,995.00",₹0.00,1,0
B0DSBS17RY,B0DSBS17RY,Armani Exchange Silver Quartz Stainless Steel Watch AX4186,239,5,0.15%,0.18%,355,7,0.16%,0.17%,98.69%,100.00%,1,0,0.42%,0.00%,"₹14,495.00",₹0.00,1,0
B0DSBSGK17,B0DSBSGK17,Fossil Men Everett Multicolor Quartz Stainless Steel Green Dial Analog Watch FS6106,"1,594",26,0.98%,0.91%,"2,057",33,0.94%,0.80%,89.86%,100.00%,1,0,0.06%,0.00%,"₹15,995.00",₹0.00,1,0
B0DSBSVS4X,B0DSBSVS4X,Fossil Womens Raquel Silver Quartz Stainless Steel Blue Dial Analog Watch ES5402,212,5,0.13%,0.18%,290,7,0.13%,0.17%,77.57%,100.00%,1,0,0.47%,0.00%,"₹12,796.00",₹0.00,1,0
B0DSBT4S4K,B0DSBT4S4K,Fossil Men Carraway Brown Quartz Leather Blue Dial Analog Watch FS6110,186,3,0.11%,0.11%,246,5,0.11%,0.12%,67.29%,100.00%,1,0,0.54%,0.00%,"₹13,495.00",₹0.00,1,0
B0DT2Y9HRM,B0DT2Y9HRM,Emporio Armani Black Quartz Leather Watch AR11677,94,3,0.06%,0.11%,163,3,0.07%,0.07%,94.12%,100.00%,1,0,1.06%,0.00%,"₹17,147.00",₹0.00,1,0
B0DT36621X,B0DT36621X,Emporio Armani Brown Quartz Leather Watch AR11672,65,0,0.04%,0.00%,87,0,0.04%,0.00%,97.37%,0.00%,1,0,1.54%,0.00%,"₹14,495.00",₹0.00,1,0
B0FCVBJX29,B0FCVBJX29,Fossil Neutra Brown Quartz Leather Watch FS6129,127,6,0.08%,0.21%,189,8,0.09%,0.19%,93.98%,100.00%,1,0,0.79%,0.00%,"₹12,995.00",₹0.00,1,0
B0FFD4KBM7,B0FFD4KBM7,Armani Exchange Blue Quartz Stainless Steel Watch AX5730,71,1,0.04%,0.04%,102,1,0.05%,0.02%,92.31%,0.00%,1,0,1.41%,0.00%,"₹12,495.00",₹0.00,1,0
B0FJ2RND61,B0FJ2RND61,Fossil Townsman Brown Automatic Leather Watch ME3270,"1,138",27,0.70%,0.95%,"1,411",36,0.65%,0.87%,82.72%,95.83%,1,0,0.09%,0.00%,"₹19,995.00",₹0.00,1,0
B0FJ2SQTNR,B0FJ2SQTNR,Fossil Everett Silver Quartz Stainless Steel Watch FS6128,143,6,0.09%,0.21%,206,8,0.09%,0.19%,95.58%,100.00%,1,0,0.70%,0.00%,"₹15,995.00",₹0.00,1,0
