sku,fnsku,asin,product-name,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable,store
FBA76864,X002FOAUSJ,B0BPLZ5CGV,Audio Array AI-04 HD 2x2 Gen 3 Audio Interface | Premium Mic Pre-Amps | 48V Phantom Power | 24bit/192kHz Hi-Fi Recording | XLR/MIC/LINE inputs | Plug & Play-No Drivers | 2 in 3 out | Metal Body | Red,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76865,X001OGV8PD,B0BF4Y92MW,"White Mulberry Computer Table with Bookshelf | Study Table with Storage | Laptop Desk | Writing Table | E2 MDF Board | Strong & Sturdy Iron Leg | Use in Office, Workstation, Home | Maple| 100*50*144cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA77168,X001RLGNR3,B0C2ZKC3ZN,White Mulberry Manual Handle for Sit Stand Desk,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA78765,X001TDQVDP,B0CBJX8WGY,White Mulberry Motorized Height Adjustable Sit-Stand Desk (Motorized Height Adjustable Desk 140 * 70 H (Black)),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA78766,X001TDMM79,B0CBJX85Q2,White Mulberry Motorized Height Adjustable Sit-Stand Desk (Motorized Height Adjustable Desk 140 * 70 H (White)),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA78767,X001TDMM51,B0CBJZGW7X,White Mulberry Motorized Height Adjustable Sit-Stand Desk (Motorized Height Adjustable Desk 140 * 70 H (Carbon Fiber)),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA78772,X001UNCJE9,B0CGF7HXXL,White Mulberry Manual Height Adjustable Sit-Stand Desk (Manual Black Sit Stand Desk Frame),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA78773,X001UN9GVN,B0CGF52WWF,White Mulberry Manual Height Adjustable Sit-Stand Desk (Manual White Sit Stand Desk Frame),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA78774,X001UMUHW1,B0CGF82HTJ,White Mulberry Motorized Height Adjustable Sit-Stand Desk (Motorized Black Sit Stand Desk Frame),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA78775,X001UN3HLD,B0CGF7MQMF,White Mulberry Motorized Height Adjustable Sit-Stand Desk (Motorized White Sit Stand Desk Frame),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
