asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee,average-quantity-customer-orders
B0GXPBHDRF,X002KGF7E9,Audio Array 6-Channel Hybrid USB Summing Mixer | 4 Analog & 2 Digital Channels | 192kHz/24-Bit OTG Recording | 99 DSP FX | 2 XLR Mic Inputs | Phantom Power | Hi-Z & Headphone Monitoring |M6,HYD8,IN,36.00,27.61,14.20,centimeter,1.98,kilograms,0.0141,cubic meter,3.06,0.0,0.0432,2026-05,2083.88,INR,89.9945,0.0
B0GXPBHDRF,X002KGF7E9,Audio Array 6-Channel Hybrid USB Summing Mixer | 4 Analog & 2 Digital Channels | 192kHz/24-Bit OTG Recording | 99 DSP FX | 2 XLR Mic Inputs | Phantom Power | Hi-Z & Headphone Monitoring |M6,DEL4,IN,36.00,27.61,14.20,centimeter,1.98,kilograms,0.0141,cubic meter,0.65,0.0,0.0092,2026-05,2083.88,INR,19.1189,0.0
B0GXPBHDRF,X002KGF7E9,Audio Array 6-Channel Hybrid USB Summing Mixer | 4 Analog & 2 Digital Channels | 192kHz/24-Bit OTG Recording | 99 DSP FX | 2 XLR Mic Inputs | Phantom Power | Hi-Z & Headphone Monitoring |M6,BOM5,IN,36.00,27.61,14.20,centimeter,1.98,kilograms,0.0141,cubic meter,3.39,0.0,0.0478,2026-05,2083.88,INR,99.7016,0.0
B0GXPBHDRF,X002KGF7E9,Audio Array 6-Channel Hybrid USB Summing Mixer | 4 Analog & 2 Digital Channels | 192kHz/24-Bit OTG Recording | 99 DSP FX | 2 XLR Mic Inputs | Phantom Power | Hi-Z & Headphone Monitoring |M6,BLR7,IN,36.00,27.61,14.20,centimeter,1.98,kilograms,0.0141,cubic meter,0.03,0.0,0.0004,2026-05,2083.88,INR,0.8851,0.0
B0GXPBHDRF,X002KGF7E9,Audio Array 6-Channel Hybrid USB Summing Mixer | 4 Analog & 2 Digital Channels | 192kHz/24-Bit OTG Recording | 99 DSP FX | 2 XLR Mic Inputs | Phantom Power | Hi-Z & Headphone Monitoring |M6,MAA4,IN,36.00,27.61,14.20,centimeter,1.98,kilograms,0.0141,cubic meter,0.32,0.0,0.0045,2026-05,2083.88,INR,9.4119,0.0
B0GXPBHDRF,X002KGF7E9,Audio Array 6-Channel Hybrid USB Summing Mixer | 4 Analog & 2 Digital Channels | 192kHz/24-Bit OTG Recording | 99 DSP FX | 2 XLR Mic Inputs | Phantom Power | Hi-Z & Headphone Monitoring |M6,ISK3,IN,36.00,27.61,14.20,centimeter,1.98,kilograms,0.0141,cubic meter,0.81,0.0,0.0114,2026-05,2083.88,INR,23.8218,0.0
B0GXPBHDRF,X002KGF7E9,Audio Array 6-Channel Hybrid USB Summing Mixer | 4 Analog & 2 Digital Channels | 192kHz/24-Bit OTG Recording | 99 DSP FX | 2 XLR Mic Inputs | Phantom Power | Hi-Z & Headphone Monitoring |M6,BLR8,IN,36.00,27.61,14.20,centimeter,1.98,kilograms,0.0141,cubic meter,1.03,0.0,0.0141,2026-05,2083.88,INR,29.4101,0.03
B0G4DNF8RZ,X002GM4N1Z,"Audio Array AM-C48 XLR/USB Professional Full RGB Dynamic Microphone Kit | AI Noise Cancellation | Touch & Knob Controls | Built-in Headphone Monitoring | Podcasting, Recording, Streaming, YouTube",MAA4,IN,41.40,13.59,13.10,centimeter,1.08,kilograms,0.0074,cubic meter,19.0,0.0,0.1400,2026-05,2083.88,INR,291.8398,0.0
B0DXFPM4N2,X00298C9U3,"Audio Array AM-S1 BT v5.3 |Professional 4\ Studio Monitors Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1\"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USBC, TRS, RCA""",MAA4,IN,39.40,31.19,23.10,centimeter,4.74,kilograms,0.0284,cubic meter,0.03,0.0,0.0009,2026-05,2083.88,INR,1.7762,0.0
B0DXFPM4N2,X00298C9U3,"Audio Array AM-S1 BT v5.3 |Professional 4\ Studio Monitors Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1\"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USBC, TRS, RCA""",HYD8,IN,39.40,31.19,23.10,centimeter,4.74,kilograms,0.0284,cubic meter,0.29,0.29,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DXFPM4N2,X00298C9U3,"Audio Array AM-S1 BT v5.3 |Professional 4\ Studio Monitors Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1\"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USBC, TRS, RCA""",LKO1,IN,39.40,31.19,23.10,centimeter,4.74,kilograms,0.0284,cubic meter,0.32,0.29,0.0009,2026-05,2083.88,INR,1.7762,0.0
