PO,Order date,Last updated,PO Status,Confirmation Status,Ship-to location,ASIN,SKU,Model,Brand,Accepted quantity,Received quantity,Remaining quantity,Cancelled quantity,Cost,Currency,Total accepted cost,Total remaining cost,Receive Status
23DXV45H,2026-02-16T00:58:12Z,2026-03-21T14:28:44Z,CLOSED,ACCEPTED,ISK3,B082W4B7SX,FBA77106,T20,Tonor,4,3,1,0,1651.91,INR,6607.64,1651.91,RECEIVED
1Z8RD6TR,2026-06-15T02:22:21Z,2026-06-15T15:05:24Z,OPEN,ACCEPTED,BOM5,B0CQX3VB1R,FBA79696,TD310+,Tonor,1,0,1,0,1751.02,INR,1751.02,1751.02,NOT_RECEIVED
1Z8RD6TR,2026-06-15T02:22:21Z,2026-06-15T15:05:24Z,OPEN,ACCEPTED,BOM5,B0BYHHSLPC,FBA79116,TC-777 PRO,Tonor,2,0,2,0,1751.02,INR,3502.04,3502.04,NOT_RECEIVED
1RSJVJNQ,2026-06-08T01:43:10Z,2026-06-08T13:59:22Z,OPEN,ACCEPTED,BOM5,B08NDB5NWP,FBA77110,TM20,Tonor,2,0,2,0,2121.57,INR,4243.14,4243.14,NOT_RECEIVED
1RSJVJNQ,2026-06-08T01:43:10Z,2026-06-08T13:59:22Z,OPEN,ACCEPTED,BOM5,B07GVGMW59,FBK77102,G11,Tonor,1,0,1,0,1818.39,INR,1818.39,1818.39,NOT_RECEIVED
1RSJVJNQ,2026-06-08T01:43:10Z,2026-06-08T13:59:22Z,OPEN,ACCEPTED,BOM5,B0BYHHSLPC,FBA79116,TC-777 PRO,Tonor,3,0,3,0,1751.02,INR,5253.0599999999995,5253.0599999999995,NOT_RECEIVED
1N1KLU4U,2026-06-15T02:39:32Z,2026-06-16T05:40:57Z,OPEN,ACCEPTED,BLR8,B0CFKHCQ8W,FBA79585,T20LP,Tonor,1,0,1,0,1461.23,INR,1461.23,1461.23,NOT_RECEIVED
1KFZ7V6N,2026-01-19T01:27:43Z,2026-02-21T14:23:26Z,CLOSED,ACCEPTED,ISK3,B0BYHHSLPC,FBA79116,TC-777 PRO,Tonor,3,0,3,0,1751.02,INR,5253.0599999999995,5253.0599999999995,NOT_RECEIVED
1K3YKPXL,2026-04-23T07:57:30Z,2026-06-04T14:29:01Z,CLOSED,ACCEPTED,ISK3,B01ISNU3X4,FBA77113,K1,Tonor,169,167,2,0,1279.41,INR,216220.29,2558.82,RECEIVED
1K3YKPXL,2026-04-23T07:57:30Z,2026-06-04T14:29:01Z,CLOSED,ACCEPTED,ISK3,B07GVGMW59,FBK77102,G11,Tonor,12,0,12,0,1818.39,INR,21820.68,21820.68,NOT_RECEIVED
1IOTCW7O,2026-04-13T01:55:35Z,2026-06-04T14:23:49Z,CLOSED,ACCEPTED,ISK3,B01ISNU3X4,FBA77113,K1,Tonor,16,6,10,0,1245.72,INR,19931.52,12457.2,RECEIVED
1IOTCW7O,2026-04-13T01:55:35Z,2026-06-04T14:23:49Z,CLOSED,ACCEPTED,ISK3,B08CVP2HXP,FBA77111,TC30,Tonor,2,1,1,0,1751.02,INR,3502.04,1751.02,RECEIVED
1BIMP66G,2026-06-15T02:10:05Z,2026-06-15T15:00:37Z,OPEN,ACCEPTED,BLR8,B089FVQD3Z,FBA77105,T30,Tonor,3,0,3,0,1906.14,INR,5718.42,5718.42,NOT_RECEIVED
14CGYPXI,2026-04-20T02:38:19Z,2026-06-04T14:32:50Z,CLOSED,ACCEPTED,MAA4,B0CCV74CL7,FBA79114,TC310+,Tonor,1,0,1,0,2516.25,INR,2516.25,2516.25,NOT_RECEIVED
