ShipmentId,ShipmentName,ShipmentStatus,DestinationFC,ShipFrom,SellerSKU,FNSKU,QuantityShipped,QuantityReceived,QuantityInCase
FBA15M7JZ2J6,FBA STA (24/08/2026 09:33)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79698,X002848Q8R,6,0,0
FBA15M7NN0C9,FBA STA (24/08/2026 11:22)-BOM5,IN_TRANSIT,BOM5,"Bhiwandi, MH",FBA79567,X0026FJYJD,40,0,0
FBA15M7NN0C9,FBA STA (24/08/2026 11:22)-BOM5,IN_TRANSIT,BOM5,"Bhiwandi, MH",FBA79971,X002HNG2AD,80,0,0
FBA15M7SCCBS,FBA STA (24/08/2026 11:32)-HYD3,IN_TRANSIT,HYD3,"Bhiwandi, MH",FBA79567,X0026FJYJD,40,0,0
FBA15M7SCCBS,FBA STA (24/08/2026 11:32)-HYD3,IN_TRANSIT,HYD3,"Bhiwandi, MH",FBA79971,X002HNG2AD,60,0,0
FBA15M7SBJ91,FBA STA (24/08/2026 11:34)-MAA4,IN_TRANSIT,MAA4,"Bhiwandi, MH",FBA79567,X0026FJYJD,36,0,0
FBA15M7SBJ91,FBA STA (24/08/2026 11:34)-MAA4,IN_TRANSIT,MAA4,"Bhiwandi, MH",FBA79971,X002HNG2AD,45,0,0
FBA15M7SBKRV,FBA STA (24/08/2026 11:37)-DEL4,IN_TRANSIT,DEL4,"Bhiwandi, MH",FBA79567,X0026FJYJD,40,0,0
FBA15M7SBKRV,FBA STA (24/08/2026 11:37)-DEL4,IN_TRANSIT,DEL4,"Bhiwandi, MH",FBA79971,X002HNG2AD,80,0,0
FBA15M7K8375,FBA STA (24/08/2026 11:40)-LKO1,IN_TRANSIT,LKO1,"Bhiwandi, MH",FBA79567,X0026FJYJD,24,0,0
FBA15M7K8375,FBA STA (24/08/2026 11:40)-LKO1,IN_TRANSIT,LKO1,"Bhiwandi, MH",FBA79971,X002HNG2AD,35,0,0
FBA15M7NNF7N,FBA STA (24/08/2026 11:42)-CCX1,IN_TRANSIT,CCX1,"Bhiwandi, MH",FBA79567,X0026FJYJD,24,0,0
FBA15M7NNF7N,FBA STA (24/08/2026 11:42)-CCX1,IN_TRANSIT,CCX1,"Bhiwandi, MH",FBA79971,X002HNG2AD,30,0,0
FBA15M7P2JGK,FBA STA (24/08/2026 11:46)-AMD2,IN_TRANSIT,AMD2,"Bhiwandi, MH",FBA79567,X0026FJYJD,24,0,0
FBA15M7P2JGK,FBA STA (24/08/2026 11:46)-AMD2,IN_TRANSIT,AMD2,"Bhiwandi, MH",FBA79971,X002HNG2AD,30,0,0
FBA15M7P2PNV,FBA STA (24/08/2026 12:01)-ISK3,IN_TRANSIT,ISK3,"Navi Mumbai, Maharashtra",FBA79263,X001ZOLVQP,150,0,0
FBA15M7V0HLC,FBA STA (24/08/2026 12:22)-BOM5,IN_TRANSIT,BOM5,"Bhiwandi, MH",FBA79679,X002876EAV,40,0,0
FBA15M7W44WL,FBA STA (24/08/2026 12:23)-DEL4,IN_TRANSIT,DEL4,"Bhiwandi, MH",FBA79679,X002876EAV,40,0,0
FBA15M7W7KTG,FBA STA (24/08/2026 12:28)-HYD3,IN_TRANSIT,HYD3,"Bhiwandi, MH",FBA79679,X002876EAV,35,0,0
FBA15M7W3QV2,FBA STA (24/08/2026 12:33)-LKO1,IN_TRANSIT,LKO1,"Bhiwandi, MH",FBA79679,X002876EAV,15,0,0
FBA15M7KBN58,FBA STA (24/08/2026 12:35)-CCX1,IN_TRANSIT,CCX1,"Bhiwandi, MH",FBA79679,X002876EAV,10,0,0
FBA15M7V05T4,FBA STA (24/08/2026 12:36)-AMD2,IN_TRANSIT,AMD2,"Bhiwandi, MH",FBA79679,X002876EAV,10,0,0
FBA15M7P46SH,FBA STA (24/08/2026 12:38)-BOM5,IN_TRANSIT,BOM5,"Bhiwandi, MH",FBA79567,X0026FJYJD,40,0,0
FBA15M7P46SH,FBA STA (24/08/2026 12:38)-BOM5,IN_TRANSIT,BOM5,"Bhiwandi, MH",FBA79971,X002HNG2AD,80,0,0
FBA15M7KCQ0B,FBA STA (24/08/2026 12:46)-HYD3,IN_TRANSIT,HYD3,"Bhiwandi, MH",FBA79567,X0026FJYJD,40,0,0
FBA15M7KCQ0B,FBA STA (24/08/2026 12:46)-HYD3,IN_TRANSIT,HYD3,"Bhiwandi, MH",FBA79971,X002HNG2AD,60,0,0
FBA15M7W8VPL,FBA STA (24/08/2026 12:46)-MAA4,IN_TRANSIT,MAA4,"Bhiwandi, MH",FBA79567,X0026FJYJD,36,0,0
FBA15M7W8VPL,FBA STA (24/08/2026 12:46)-MAA4,IN_TRANSIT,MAA4,"Bhiwandi, MH",FBA79971,X002HNG2AD,45,0,0
FBA15M7V4GWY,FBA STA (24/08/2026 12:47)-DEL4,IN_TRANSIT,DEL4,"Bhiwandi, MH",FBA79567,X0026FJYJD,40,0,0
