snapshot-date,sku,fnsku,asin,product-name,condition,available,fc-transfer,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,qty-to-be-charged-ltsf-5-mo,projected-ltsf-5-mo,qty-to-be-charged-ltsf-12-mo,estimated-ltsf-next-charge,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-91-to-150-days,inv-age-151-to-180-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,Total Reserved Quantity,unfulfillable-quantity,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments)
2026-07-16,FBA75690,X001L5V8HP,B0B4K87PR4,,New,20,0,0,19,1,0,0,0,INR,0,0.0,0,0.0,0,4,8,9,,3999.0,0.0,3999.0,0.0,NoRestockExcessActionRequired,20,0.0,0,0,0.0,0.78,9.33E-4,cubic meter,,0.018657,IN,,2117,,0,20,28,3999.0,0.0,13555.92,27128.8,30585.58,18,0,1,1,0,0,0,166.03,0,0,0,0,0,0,2026-07-14,20,0,0,
2026-07-16,FBA79655,X0026HL9JJ,B0DN6PFWNK,,New,15,0,0,0,15,0,0,0,INR,14,9832.94,0,0.0,0,0,1,2,Low conversion,5199.0,0.0,5199.0,0.0,Lower price,15,0.0,0,0,4.64,0.11,0.030506,cubic meter,,0.457591,IN,,2174,,0,,97,5199.0,0.0,0.0,4405.94,8811.88,0,0,0,0,15,0,0,3523.41,0,0,0,0,0,0,2026-07-14,15,0,0,
2026-07-16,FBA79833,X002CZYSNT,B0FJ8PZ9H7,,New,9,0,1,1,8,0,0,0,INR,7,3223.96,0,0.0,0,2,4,5,Low traffic,13799.0,0.0,13799.0,0.0,NoRestockExcessActionRequired,0,12420.0,52,0,229151.63,0.27,0.020004,cubic meter,,0.180039,IN,,4531,,9,18,23,13799.0,0.0,23388.14,45928.81,57114.4,0,1,0,0,8,0,0,3770.93,0,0,0,0,0,0,2026-07-14,9,0,0,
2026-07-16,FBA80004,X002K07EHD,B0GW92316G,,New,10,0,0,10,0,0,0,0,INR,0,0.0,0,0.0,,,,,Low traffic,7999.0,0.0,7999.0,0.0,Advertise listing,0,0.0,0,0,78746.59,0.0,0.010264,cubic meter,,0.102637,IN,,,,0,,,7999.0,,,,,0,6,4,0,0,0,0,165.73,0,0,0,0,0,0,2026-07-14,10,0,0,
2026-07-16,FBA78205,X001S2C45B,B0C539RBGL,,New,2,0,0,2,0,0,0,0,INR,0,0.0,0,0.0,0,1,3,3,Low traffic,1899.0,0.0,1899.0,0.0,NoRestockExcessActionRequired,0,0.0,0,0,5809.5,1.2,0.002307,cubic meter,,0.004615,IN,,8170,,0,16,17,1899.0,0.0,1694.07,5082.21,5082.21,0,0,2,0,0,0,0,7.44,2,0,2,0,0,0,2026-07-14,4,0,0,
2026-07-16,FBA76742,X001NY39F3,B0BLKBJ5HN,,New,2,4,0,2,0,0,0,0,INR,0,0.0,0,0.0,1,4,9,11,Low traffic,9299.0,0.0,9299.0,0.0,CreateShippingPlan,0,0.0,0,0,68216.57,2.32,0.00743,cubic meter,,0.014861,IN,,8090,,0,6,7,9299.0,7880.51,31522.03,71094.06,87363.55,2,0,0,0,0,0,0,214.56,4,0,4,0,0,0,2026-07-14,10,0,0,
2026-07-16,FBA76414,X001NY6AGX,B0BLJVJ2GN,,New,7,15,0,4,4,0,0,0,INR,0,0.0,0,0.0,3,13,32,65,,649.0,0.0,649.0,0.0,CreateShippingPlan,22,0.0,0,0,0.0,1.71,0.002223,cubic meter,,0.015559,IN,,288,,0,2,1,649.0,1683.04,7230.52,17806.83,36975.57,0,1,3,4,0,0,0,19.87,0,0,0,0,1,1,2026-07-14,22,1,0,
2026-07-16,FBA80010,X002K02U1N,B0GW8ZQRFK,,New,38,0,0,38,0,0,0,0,INR,0,0.0,0,0.0,,,,,Low conversion,1599.0,0.0,1599.0,0.0,Lower price,0,0.0,0,0,56810.72,0.0,0.001906,cubic meter,,0.072433,IN,,1000,,0,,,1599.0,,,,,0,25,13,0,0,0,0,116.44,0,0,0,0,0,0,2026-07-14,38,0,0,
2026-07-16,FBA79482,X00298C9U3,B0DXFPM4N2,,New,22,0,0,23,0,0,0,0,INR,0,0.0,0,0.0,13,17,39,56,,8999.0,0.0,8999.0,0.0,CreateShippingPlan,22,0.0,0,0,0.0,1.24,0.028581,cubic meter,,0.628776,IN,,329,,0,5,5,8999.0,99351.69,129856.78,295939.89,424315.36,23,0,0,0,0,0,0,214.11,0,0,0,0,0,1,2026-07-14,22,0,0,
2026-07-16,FBA79832,X002D00DGJ,B0FJ8S53GW,,New,4,0,1,1,2,0,0,0,INR,1,401.91,0,0.0,0,0,3,3,Low conversion,5399.0,0.0,5399.0,0.0,NoRestockExcessActionRequired,0,5189.58,15,0,78048.78,0.5,0.017456,cubic meter,,0.069825,IN,,5661,,4,,17,5399.0,0.0,0.0,13556.78,13556.78,1,0,0,0,2,0,0,1461.52,0,0,0,0,1,0,2026-07-14,4,1,0,
2026-07-16,FBA79834,X002D00LX9,B0FJ8T4WXM,,New,2,0,0,0,2,0,0,0,INR,0,0.0,0,0.0,,,,,Low traffic,9699.0,0.0,9699.0,0.0,Advertise listing,0,9198.0,9,0,37018.64,0.0,0.018609,cubic meter,,0.037219,IN,,,,2,,,9699.0,,,,,0,0,0,0,2,0,0,780.1,0,0,0,0,0,0,2026-07-14,2,0,0,
