snapshot-date,sku,fnsku,asin,product-name,condition,available,fc-transfer,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,qty-to-be-charged-ltsf-5-mo,projected-ltsf-5-mo,qty-to-be-charged-ltsf-12-mo,estimated-ltsf-next-charge,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-91-to-150-days,inv-age-151-to-180-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,Total Reserved Quantity,unfulfillable-quantity,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments)
2026-07-16,FBA79590,X0028X4EW5,B0DM6BB3VT,,,0,0,0,1,0,0,0,0,INR,0,0.0,0,0.0,7,27,35,58,,0.0,0.0,0.0,0.0,CreateShippingPlan,,,0,0,,2.32,0.004708,cubic meter,,0.0,IN,,13619,,0,0,0,2936.0,19788.56,76009.45,98923.71,162267.49,1,0,0,0,0,0,0,,0,0,0,0,0,1,2026-07-14,0,0,0,
2026-07-16,FBA79809,X002CZZ1R1,B0FJ8SFNRH,,,0,0,0,0,92,0,0,0,INR,91,26538.0,0,0.0,0,0,3,3,Low traffic,0.0,0.0,635.0,0.0,CreateShippingPlan,,,0,0,,0.03,0.012667,cubic meter,,0.0,IN,,697227,,0,,0,635.0,0.0,0.0,1553.4,1553.4,0,0,0,92,0,0,0,,0,0,0,0,92,0,2026-07-14,0,80,12,
2026-07-16,FBA79463,X0028X1G71,B0DCK56Q85,,New,13,0,0,0,13,0,0,0,INR,0,0.0,0,0.0,1,2,4,5,,2599.0,0.0,2499.0,0.0,NoRestockExcessActionRequired,0,2599.0,29,0,69686.27,0.32,0.006369,cubic meter,,0.082803,IN,,146956,,13,26,33,2499.0,2117.8,4277.96,8502.52,10566.93,0,0,0,13,0,0,0,1701.38,0,0,0,0,0,0,2026-07-14,13,0,0,
2026-07-16,FBA78980,X0028X4EED,B0CDPMX152,,New,3,0,0,3,0,0,0,0,INR,0,0.0,0,0.0,2,21,38,46,,2287.0,0.0,2199.0,0.0,CreateShippingPlan,3,0.0,0,0,0.0,0.83,0.009228,cubic meter,,0.027683,IN,,52423,,0,9,14,2199.0,3850.86,41756.82,75810.27,90692.47,3,0,0,0,0,0,0,13.71,48,32,16,0,0,1,2026-07-14,51,0,0,
2026-07-16,FBK79791,X002DVFBBP,B0FN4HDM6Z,,New,127,0,0,4,123,0,0,0,INR,0,0.0,0,0.0,5,12,19,36,,1799.0,0.0,1799.0,0.0,NoRestockExcessActionRequired,9,0.0,0,0,299585.5,0.25,0.005369,cubic meter,,0.681915,IN,,2930,,118,42,45,1799.0,8605.93,21057.65,33458.49,63895.84,0,3,1,123,0,0,0,1078.87,0,0,0,0,0,0,2026-07-14,127,0,0,
2026-07-16,FBK79271,X0028X1WKH,B0DQ8W1RBV,,New,7,0,0,7,0,0,0,0,INR,0,0.0,0,0.0,0,1,5,12,,1559.0,0.0,1483.0,0.0,NoRestockExcessActionRequired,7,0.0,0,0,0.0,0.77,0.003952,cubic meter,,0.027667,IN,,12174,,0,76,20,1483.0,0.0,1209.32,6824.57,17555.91,0,6,1,0,0,0,0,33.3,12,12,0,0,0,2,2026-07-14,19,0,0,
2026-07-16,FBA79480,X0028X1YPF,B0DDC3GVZW,,,0,0,0,1,0,3,0,0,INR,3,191.25,0,0.0,0,0,0,0,Low conversion,0.0,0.0,1499.0,0.0,NoRestockExcessActionRequired,,,0,0,,0.0,0.002769,cubic meter,,0.0,IN,,84443,,0,,,1499.0,0.0,0.0,0.0,0.0,0,0,1,0,0,3,0,,0,0,0,0,4,0,2026-07-14,0,4,0,
2026-07-16,FBP79350,X002A16MCZ,B0D67727VG,,New,29,0,0,29,0,0,0,0,INR,0,0.0,0,0.0,1,37,50,65,Low traffic,1143.0,0.0,1099.0,0.0,CreateShippingPlan,29,0.0,0,0,0.0,1.64,5.1E-4,cubic meter,,0.014778,IN,,18435,,0,7,13,1099.0,1049.52,38735.13,52381.8,68049.46,23,6,0,0,0,0,0,20.18,40,20,20,0,0,0,2026-07-14,69,0,0,
2026-07-16,FBA79439,X0028X7N8H,B0DCK7ZH5P,,New,98,0,0,1,100,0,0,0,INR,2,662.75,0,0.0,4,7,10,15,,3535.0,0.0,3369.0,0.0,NoRestockExcessActionRequired,1,3435.0,43,0,723208.02,0.14,0.014393,cubic meter,,1.410514,IN,,5597,,97,56,84,3369.0,11967.78,20866.92,29345.76,43812.74,0,0,1,100,0,0,0,2249.1,0,0,0,0,2,0,2026-07-14,98,2,0,
2026-07-16,FBA79280,X0028X4EL1,B0D845B2DG,,New,53,0,0,0,53,0,0,0,INR,0,0.0,0,0.0,1,3,7,8,Low traffic,1499.0,0.0,1499.0,0.0,Advertise listing,0,1459.0,50,0,143867.8,0.1,0.002055,cubic meter,,0.108893,IN,,,,53,70,86,1499.0,1270.34,3882.2,8790.68,10017.8,0,0,0,53,0,0,0,692.59,0,0,0,0,0,0,2026-07-14,53,0,0,
