asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee,average-quantity-customer-orders
B0DCK56Q85,X0028X1G71,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",BLR8,IN,37.60,14.00,12.10,centimeter,0.94,kilograms,0.0064,cubic meter,2.58,0.0,0.0162,2026-05,2083.88,INR,33.8415,0.03
B0DCK56Q85,X0028X1G71,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",MAA4,IN,37.60,14.00,12.10,centimeter,0.94,kilograms,0.0064,cubic meter,4.0,0.0,0.0255,2026-05,2083.88,INR,53.0843,0.0
B0DCK56Q85,X0028X1G71,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",PNQ3,IN,37.60,14.00,12.10,centimeter,0.94,kilograms,0.0064,cubic meter,1.0,0.0,0.0064,2026-05,2083.88,INR,13.2711,0.0
B0DCK56Q85,X0028X1G71,"NexLev Cordless Vacuum Cleaner|HEPA with Stainless Steel Cover|6000 mAh|Copper Motor| Rechargeable Type C|Ideal for Home, Office & Car Use|Compact & Portable|Dust & Pet Hair Remover|3 Attachment|VC-02",HYD3,IN,37.60,14.00,12.10,centimeter,0.94,kilograms,0.0064,cubic meter,2.0,0.0,0.0127,2026-05,2083.88,INR,26.5423,0.0
B0DDC3GVZW,X0028X1YPF,"nexlev Vacuum Cleaner for Car Use | 4000 mAh High Power Suction Portable Car Vacuum Cleaner with Copper Motor, LED Torch, Seat Belt Cutter & Window Breaker Emergency Escape Tool, Type-C | VC-03",PNQ3,IN,30.90,10.31,8.70,centimeter,0.61,kilograms,0.0028,cubic meter,0.16,0.16,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DDC3GVZW,X0028X1YPF,"nexlev Vacuum Cleaner for Car Use | 4000 mAh High Power Suction Portable Car Vacuum Cleaner with Copper Motor, LED Torch, Seat Belt Cutter & Window Breaker Emergency Escape Tool, Type-C | VC-03",DED4,IN,30.90,10.31,8.70,centimeter,0.61,kilograms,0.0028,cubic meter,0.16,0.16,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DDC3GVZW,X0028X1YPF,"nexlev Vacuum Cleaner for Car Use | 4000 mAh High Power Suction Portable Car Vacuum Cleaner with Copper Motor, LED Torch, Seat Belt Cutter & Window Breaker Emergency Escape Tool, Type-C | VC-03",CCX1,IN,30.90,10.31,8.70,centimeter,0.61,kilograms,0.0028,cubic meter,0.68,0.06,0.0017,2026-05,2083.88,INR,3.5818,0.0
B0DDC3GVZW,X0028X1YPF,"nexlev Vacuum Cleaner for Car Use | 4000 mAh High Power Suction Portable Car Vacuum Cleaner with Copper Motor, LED Torch, Seat Belt Cutter & Window Breaker Emergency Escape Tool, Type-C | VC-03",BOM7,IN,30.90,10.31,8.70,centimeter,0.61,kilograms,0.0028,cubic meter,7.71,4.65,0.0077,2026-05,2083.88,INR,16.0031,0.29
B0DDC3GVZW,X0028X1YPF,"nexlev Vacuum Cleaner for Car Use | 4000 mAh High Power Suction Portable Car Vacuum Cleaner with Copper Motor, LED Torch, Seat Belt Cutter & Window Breaker Emergency Escape Tool, Type-C | VC-03",AMD2,IN,30.90,10.31,8.70,centimeter,0.61,kilograms,0.0028,cubic meter,1.0,0.39,0.0017,2026-05,2083.88,INR,3.5228,0.0
B0DDC3GVZW,X0028X1YPF,"nexlev Vacuum Cleaner for Car Use | 4000 mAh High Power Suction Portable Car Vacuum Cleaner with Copper Motor, LED Torch, Seat Belt Cutter & Window Breaker Emergency Escape Tool, Type-C | VC-03",DEL4,IN,30.90,10.31,8.70,centimeter,0.61,kilograms,0.0028,cubic meter,0.52,0.26,0.0007,2026-05,2083.88,INR,1.5047,0.0
