week,brand,model,channel,sku,sku_status,units_sold,gross_sales,gmv,nlc,sales_nlc,category_l0,category_l1,category_l2
Week 7,Nexlev,TM-03,Amazon,FBA79483,MAPPED,1,888.9830508,888.9830508,594,594,HPC,Trimmers & Body Groomers,Men's Body Trimmer
Week 7,Nexlev,TM-04,Amazon,FBA79485,MAPPED,0,0,0,460,0,HPC,Trimmers & Body Groomers,Body & Nose Trimmer
Week 7,Nexlev,TM-05,Amazon,FBA79693,MAPPED,1,2117.79661,2117.79661,1177,1177,HPC,Trimmers & Body Groomers,Vacuum Trimmer
Week 7,Nexlev,V-01,Amazon,FBA79271,MAPPED,12,13041.52542,13041.52542,728,8736,HPC,Hair Care,Volumizer
Week 7,Nexlev,V-01 RG,Amazon,FBK79271,MAPPED,16,17835.59322,17835.59322,663,10608,HPC,Hair Care,Volumizer
Week 7,Nexlev,V-02,Amazon,FBA79492,MAPPED,0,0,0,1095,0,HPC,Hair Care,Volumizer
Week 7,Nexlev,V-03,Amazon,FBA79493,MAPPED,24,42762.71186,42762.71186,852,20448,HPC,Hair Care,Volumizer
Week 7,Nexlev,VC-01,Amazon,FBA79452,MAPPED,22,35576.27119,35576.27119,1088,23936,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
Week 7,Nexlev,VC-03,Amazon,FBA79480,MAPPED,0,0,0,803,0,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
Week 7,Nexlev,VC-04,Amazon,FBA79565,MAPPED,1,0,0,1112,1112,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
Week 7,Nexlev,VC-05,Amazon,FBA79566,MAPPED,3,5318.652542,5318.652542,1063,3189,Home & Kitchen,Cleaning & Vacumming,Vacuum Cleaner
Week 8,Nexlev,AP-01,Amazon,FBA79683,MAPPED,0,0,0,10158,0,Home & Kitchen,Air Purifier,Air Purifier
Week 8,Nexlev,AP-01 HEPA,Amazon,FBA79777,MAPPED,0,0,0,2350,0,Home & Kitchen,HEPA,Spares
Week 8,Nexlev,AP-03,Amazon,FBA79692,MAPPED,3,10156.61017,10156.61017,2005,6015,Home & Kitchen,Air Purifier,NexLev Air Purifier Mini
Week 8,Nexlev,AP-03 HEPA,Amazon,FBA79778,MAPPED,2,1862.711864,1862.711864,500,1000,Home & Kitchen,HEPA,Spares
Week 8,Nexlev,BM-02,Amazon,FBA79598,MAPPED,1,1685.59322,1685.59322,970,970,HPC,Electric Massagers,Back & Shoulder Massager
Week 8,Nexlev,BR-01,Amazon,FBA79570,MAPPED,3,4050,4050,536,1608,HPC,Skin Care,Blackhead Remover
Week 8,Nexlev,CF-01,Amazon,FBA79484,MAPPED,3,3811.016949,3811.016949,716,2148,Home & Kitchen,Kitchen Appliances,Drip Coffee Maker
Week 8,Nexlev,CFM-01,Amazon,FBA79590,MAPPED,22,50026.27966,50026.27966,1014,22308,HPC,Electric Massagers,Calf Massager
Week 8,Nexlev,CFM-02,Amazon,FBA79689,MAPPED,4,20335.59322,20335.59322,3229,12916,HPC,Electric Massagers,Complete Leg Massager
Week 8,Nexlev,CFM-03,Amazon,FBA79849,MAPPED,3,12709.32203,12709.32203,2004,6012,HPC,Electric Massagers,Calf Massager
Week 8,Nexlev,CM-01-BL,Amazon,FBA79464,MAPPED,6,6351.694915,6351.694915,560,3360,HPC,Electric Massagers,Electric Heating Pads
Week 8,Nexlev,CM-02-PR,Amazon,FBA79472,MAPPED,6,6713.559322,6713.559322,560,3360,HPC,Electric Massagers,Electric Heating Pads
Week 8,Nexlev,CR-01,Amazon,FBA79265,MAPPED,7,3554.237288,3554.237288,533,3731,HPC,Skin Care,Callus Remover
Week 8,Nexlev,DF-01-BK,Amazon,FBA79174,MAPPED,0,0,0,1073,0,HPC,Oral Care,Dental Flosser
Week 8,Nexlev,DH-01,Amazon,FBM79991,MAPPED,2,6777.966102,6777.966102,0,0,Home & Kitchen,"Heating, Cooling & Air Quality",Dehumidifiers
Week 8,Nexlev,EA-01,Amazon,FBA79350,MAPPED,24,19595.76271,19595.76271,710,17040,HPC,Hair Care,Hair Oil Applicator
Week 8,Nexlev,EA-02,Amazon,FBA79573,MAPPED,2,4744.067797,4744.067797,1345,2690,HPC,Hair Care,Hair Oil Applicator
Week 8,Nexlev,ET-01-BK_N,Amazon,FBA79373,MAPPED,32,8108.474576,8108.474576,295,9440,HPC,Oral Care,Electric Toothbrush
Week 8,Nexlev,ET-02-GN_N,Amazon,FBA79374,MAPPED,21,5321.186441,5321.186441,295,6195,HPC,Oral Care,Electric Toothbrush
Week 8,Nexlev,ETC-04-WH,Amazon,FBA79346,MAPPED,4,2722.033898,2722.033898,412,1648,HPC,Oral Care,Electric Toothbrush
Week 8,Nexlev,ETC-05-PI,Amazon,FBA79347,MAPPED,0,0,0,413,0,HPC,Oral Care,Electric Toothbrush
Week 8,Nexlev,ETC-07-WH,Amazon,FBA79673,MAPPED,18,11425.42373,11425.42373,371,6678,HPC,Oral Care,Electric Toothbrush
Week 8,Nexlev,ETC-08-BL,Amazon,FBA79707,MAPPED,7,4443.220339,4443.220339,373,2611,HPC,Oral Care,Electric Toothbrush
Week 8,Nexlev,ETR-06,Amazon,FBA79381,MAPPED,10,10584.74576,10584.74576,672,6720,HPC,Oral Care,Electric Toothbrush - Oscillating
Week 8,Nexlev,FS-01,Amazon,FBA79404,MAPPED,2,3079.661017,3079.661017,896,1792,HPC,Skin Care,Face Steamer
Week 8,Nexlev,GS-02,Amazon,FBA78980,MAPPED,33,55906.77966,55906.77966,1260,41580,Home & Kitchen,Fabric Care,Garment steamer
Week 8,Nexlev,GS-04,Amazon,FBA79229,MAPPED,0,0,0,1512,0,Home & Kitchen,Fabric Care,Garment steamer
Week 8,Nexlev,GS-05,Amazon,FBA79268,MAPPED,30,46977.13559,46977.13559,987,29610,Home & Kitchen,Fabric Care,Garment steamer
Week 8,Nexlev,HB-01,Amazon,FBA79676,MAPPED,0,0,0,1175,0,HPC,Electric Massagers,Heated Wrap Belt
Week 8,Nexlev,HD-01,Amazon,FBA79278,MAPPED,1,1122.881356,1122.881356,769,769,HPC,Hair Care,Hair Dryer
Week 8,Nexlev,HM-01,Amazon,FBA79332,MAPPED,0,0,0,490,0,HPC,Hair Care,Head Massager
Week 8,Nexlev,HM-02,Amazon,FBA79333,MAPPED,0,0,0,714,0,HPC,Hair Care,Head Massager
Week 8,Nexlev,HS-01,Amazon,FBA79272,MAPPED,1,677.1186441,677.1186441,378,378,HPC,Hair Care,Hair Straightener
Week 8,Nexlev,HS-02,Amazon,FBA79273,MAPPED,2,1438.983051,1438.983051,389,778,HPC,Hair Care,Hair Straightener
