brand,sku,asin,model,nlc,gross_margin,gross_margin_pct,net_margin,net_margin_pct
Nexlev,FBA79988,B0GN8N96R5,AP-04,2894.895573564706,2663.79,42.97,217.53,3.51
Nexlev,FBA79989,B0GN86G345,CAP-05,1266.064237058824,815.76,35.48,-102.71,-4.47
Nexlev,FBA79991,B0GN85NZQN,DH-01,1996.999597720588,3297.51,54.97,1090.06,18.17
Nexlev,FBA79992,B0GN94YDY2,ST-02,5962.510506601058,4777.0,39.81,190.32,1.59
Nexlev,FBA79993,B0GN8WW6BC,ST-03,6790.381866719999,5789.3,41.36,510.39,3.65
White Mulberry,FBA79167,B0CPFS24ML,WM-GD07-CB,,6471.69,82.45,3468.77,44.19
White Mulberry,FBA76415,B0BFWD6SNF,WM-LOD-CF,,7022.54,82.63,3877.37,45.62
White Mulberry,FBA76416,B0BFW59TRG,WM-LOD-BK,,7022.54,82.63,3877.37,45.62
White Mulberry,FBA76417,B0BFVMDJ2K,WM-LOD-WH,,7022.54,82.63,3741.37,44.02
White Mulberry,FBA76418,B0BFVNS8HS,WM-LOD-IN,,7022.54,82.63,3969.37,46.7
White Mulberry,FBA79175,B0CPT2YJX2,WM-LODN-BK,,4005.32,47.13,912.14,10.73
White Mulberry,FBA79166,B0CPFP9ZL4,WM-LWS-CF,,3925.63,46.19,1545.91,18.19
White Mulberry,FBA79667,B0DQPK7MFH,WM-LODN-WH,,3995.63,47.01,532.45,6.26
White Mulberry,FBA79668,B0DQPLCZ3G,WM-LODN-BK,,3995.63,47.01,-289.55,-3.41
White Mulberry,FBA79669,B0DQPLMQQ7,WM-LWS-CF,,4005.32,47.13,267.14,3.14
White Mulberry,FBA79670,B0DQPGLK2T,WM-LWS-GR,,4005.32,47.13,267.14,3.14
White Mulberry,FBA76382,B0BF4T7SWK,WM-MH05P-BK,,5074.09,33.82,-238.24,-1.59
White Mulberry,FBK76387,B0BF4S7V8C,WM-MH05P-WH,,5921.96,39.48,1385.68,9.24
White Mulberry,FBK76764,B0BMV1WPHL,WM-MH05P-CF,,5072.81,36.24,-208.87,-1.49
White Mulberry,FBA79176,B0CPT25SD8,WM-MD09-BK,,5873.51,39.15,459.19,3.06
White Mulberry,FBA79658,B0DQ1PKNSP,WM-MDL-WH,,6452.49,43.01,1661.21,11.07
White Mulberry,FBA79659,B0DQ1NV8D2,WM-MDL-BK,,6452.49,43.01,1833.21,12.22
White Mulberry,FBA76383,B0BF4TKQKN,WM-SEH04P-BK,,2409.34,16.06,-2485.94,-16.57
White Mulberry,FBA76388,B0BF4VRJJ1,WM-SEH04P-WH,,3255.1,20.35,-1919.62,-12.0
White Mulberry,FBA79433,B0DC3JRBW1,WM-SE08-WD,,5556.47,34.73,-542.25,-3.39
White Mulberry,FBA79177,B0CPT34B2L,WM-SE08-BK,,5556.47,34.73,645.75,4.04
White Mulberry,FBA79178,B0CPT2NY5M,WM-SE08-WH,,5556.47,34.73,645.75,4.04
White Mulberry,FBA79179,B0CPT3Q25C,WM-SE08-CF,,6179.06,38.62,1268.34,7.93
White Mulberry,FBA79660,B0DQ4ZK2WQ,WM-MODL-BBW,,6179.06,38.62,1368.34,8.55
White Mulberry,FBA79661,B0DQ51R95T,WM-MODL-BK,,6179.06,38.62,1268.34,7.93
White Mulberry,FBA79662,B0DQ4YWSMC,WM-MODL-WH,,6179.06,38.62,1368.34,8.55
White Mulberry,FBA79164,B0CPFN27Z2,WM-USE06-BK,,8533.23,37.1,1762.51,7.66
White Mulberry,FBA79165,B0CPFPT6DZ,WM-USE06-WH,,10228.14,40.91,2797.42,11.19
White Mulberry,FBA79434,B0DC3SJMZ6,WM-USE06-WB,,11075.6,42.6,2176.88,8.37
White Mulberry,FBA79435,B0DC3NPKGF,WM-USE06-WW,,5990.86,29.96,-1227.86,-6.14
White Mulberry,FBA79476,B0DB5VG39T,WM-GS1M-BK,,1223.54,48.96,275.84,11.04
White Mulberry,FBA79477,B0DB5VVPSB,WM-GS2M-BK,,2235.12,48.6,619.42,13.47
White Mulberry,FBA79478,B0DB5W4TCP,WM-HA1M-BK,,771.99,48.28,-0.38,-0.02
White Mulberry,FBA79479,B0DB5YTQZV,WM-HA2M-BK,,824.3,43.41,23.6,1.24
White Mulberry,FBA79612,B0DP2WC5VW,WM1ML,,1436.21,49.54,368.51,12.71
White Mulberry,FBA79613,B0DP2VVRND,MS1ML,,983.2,50.19,197.5,10.08
White Mulberry,FBA79614,B0DP313R77,MS2ML,,1460.37,51.08,371.67,13.0
White Mulberry,FBA79615,B0DP2Z5DQ9,VLMS1ML,,1297.81,46.37,194.11,6.94
White Mulberry,FBA79616,B0DP3194QN,HD1ML,,1891.11,47.29,460.41,11.51
White Mulberry,FBA79617,B0DP32F346,HDWF1ML,,1516.07,47.39,297.37,9.3
White Mulberry,FBK79784,B0FN4FHH5Y,POS2M,,2821.86,51.32,365.25,6.64
White Mulberry,FBK79785,B0FN4HDBN5,POS2MK,,3377.45,48.96,356.81,5.17
White Mulberry,FBK79786,B0FN4FPJ83,POSS-01,,1153.97,57.73,179.36,8.97
White Mulberry,FBK79787,B0FN4GQ9HT,TVCF1ML,,458.42,62.88,298.04,40.88
White Mulberry,FBK79788,B0FN4D3C89,TVCT1ML,,260.63,60.75,166.25,38.75
White Mulberry,FBK79789,B0FN4DSQ6P,TVMF1ML,,327.99,56.65,200.61,34.65
White Mulberry,FBK79790,B0FN4GJ9S1,TVLF1ML,,460.3,59.55,290.24,37.55
White Mulberry,FBK79791,B0FN4HDM6Z,TVFM1ML,,1251.39,55.49,484.69,21.49
White Mulberry,FBK79792,B0FN4JG97R,HDMSP1ML,,2865.02,52.1,511.41,9.3
White Mulberry,FBK79793,B0FN81FD8M,HDGS1ML,,4320.34,51.01,765.71,9.04
